Date,Close,High,Low,Open,Volume
2025-07-03,137.31275939941406,138.70711007108588,136.92433628885112,137.53187143071796,1029100
2025-07-07,136.396484375,138.54775792238237,135.3905719760202,135.94830618524136,1546800
2025-07-08,139.1652374267578,140.68905228322342,136.82474473473218,137.30280042377015,1975000
2025-07-09,139.13536071777344,139.77277337262754,137.42231135839367,139.03577401374037,1459000
2025-07-10,142.73077392578125,144.45377743765408,140.96792357364865,141.97385112913068,1967700
2025-07-11,141.82444763183594,143.16899733785553,140.45998970289338,141.97385048645853,1243000
2025-07-14,140.99781799316406,142.33239841265018,140.1014464419724,140.29068094268342,1419900
2025-07-15,137.82070922851562,141.65513942088955,137.70118390297546,141.4260732757062,1486200
2025-07-16,137.2330780029297,138.59755111383836,135.05194224197913,137.75098053839392,1535900
2025-07-17,140.18112182617188,140.4699430281055,136.9542116680568,137.29284901836917,1109800
2025-07-18,140.06161499023438,140.62930329602818,138.69714183976726,140.28072702324027,1492200
2025-07-21,141.57545471191406,143.5374936185578,141.1770775032734,142.5017037578223,1362000
2025-07-22,143.1889190673828,143.85620925822536,140.73885513339556,141.55554817709682,1473300
2025-07-23,144.41395568847656,145.5593016719863,143.57735435110678,143.88609899724673,1685100
2025-07-24,140.85836791992188,143.83628855663002,140.0616134780846,143.09927398110204,2069700
2025-07-25,145.2406005859375,145.40991167313567,139.73295240751213,141.23684396823768,1983700
2025-07-28,143.93589782714844,146.55525782312674,143.47775032223856,145.2406007691168,2404200
2025-07-29,140.07156372070312,140.46994093061818,133.4882792660326,134.20537040157285,4232700
2025-07-30,142.3722381591797,143.09928347429084,138.53780776283253,140.10145441564296,2675200
2025-07-31,142.49176025390625,144.08528440420963,140.8782974854353,141.98381179839313,2753300
2025-08-01,138.10952758789062,139.72297507677624,136.75502377095066,138.81666462640823,1721000
2025-08-04,136.42636108398438,139.32460332916818,136.34668259784576,138.14937985213734,1190900
2025-08-05,138.88638305664062,139.37440809868278,136.12757428738456,136.49608919550528,1035300
2025-08-06,137.96014404296875,138.93617889398456,137.18329780685778,138.16928676962783,852000
2025-08-07,137.2330780029297,141.0774773835997,135.80886502679874,139.9221773851101,1225700
2025-08-08,138.41827392578125,139.22499768021598,137.2729280121966,138.19916189406848,1066800
2025-08-11,137.1633758544922,138.08960976241733,135.25113777612515,138.01990058515716,1474300
2025-08-12,140.85836791992188,141.81449452609016,137.89041659186265,138.43819666846338,1011300
2025-08-13,145.25054931640625,145.50950819074112,141.13725202743336,141.42607323674872,1342700
2025-08-14,143.76658630371094,143.97572903577208,141.0376550979642,142.75070458520412,1155100
2025-08-15,144.82229614257812,150.70841318406164,144.25459263227998,150.38969924204503,2180300
2025-08-18,144.0653533935547,147.05322811472442,143.70680781912964,145.09118916538696,1118500
2025-08-19,145.32028198242188,146.85405110705366,143.64706410388746,144.6231141984983,1383700
2025-08-20,142.89013671875,145.629022009286,142.571422772144,145.629022009286,1190900
2025-08-21,142.6710205078125,143.3881116695897,141.8244499093731,142.16308726701905,986200
2025-08-22,147.33209228515625,148.38782076461598,142.75069358846665,142.75069358846665,1410300
2025-08-25,148.945556640625,149.7024794260115,147.71056296193655,147.73048638176996,1083500
2025-08-26,147.35202026367188,150.439496922036,146.84408702639075,148.59696807799338,1469200
2025-08-27,149.722412109375,150.0510801699365,146.60505778714548,146.85404736056017,943400
2025-08-28,149.19454956054688,150.54905339452452,147.44165330650702,150.44945149022973,1083300
2025-08-29,148.12887573242188,150.14071578116682,147.69065164288162,149.28419102355207,911600
2025-09-02,145.80828857421875,146.40586963115211,143.4677956949845,145.37007968920085,1202300
2025-09-03,144.62310791015625,145.59914276521033,142.15312044434165,145.59914276521033,1125000
2025-09-04,144.35418701171875,144.57329903615124,141.7248579156454,144.31434017248571,1141000
2025-09-05,146.66481018066406,149.63277678360876,144.69281705034678,145.93776489473447,1374700
2025-09-08,143.4379119873047,146.9835209397843,142.94988697191312,146.9835209397843,2331300
2025-09-09,140.45004272460938,145.52942090029734,140.41019588250626,144.1350853690381,1689700
2025-09-10,141.3065643310547,143.16900143446378,140.59942727202073,140.84841683973283,1439200
2025-09-11,143.16900634765625,145.08124446965428,141.0077786494014,141.20696727098328,1515200
2025-09-12,140.77870178222656,142.99968437824396,140.6890539917862,142.700893870048,929900
2025-09-15,140.99781799316406,141.59538383017485,138.65731000613343,140.52971639575793,1548000
2025-09-16,142.35231018066406,144.33427263599495,141.41612215965648,142.06348896515104,2037300
2025-09-17,142.22283935546875,145.82820331216791,140.43011148853225,141.41611561462648,1485600
2025-09-18,133.7572021484375,137.5418467114221,133.24925369148855,135.45032821165972,3676100
2025-09-19,132.76124572753906,134.20538223723605,132.11386370793852,134.04602526036965,4919200
2025-09-22,134.13565063476562,135.0818231357389,131.39676543053486,132.51224901138838,2225400
2025-09-23,134.7133026123047,137.54183549108305,134.0360583211108,134.73322603178576,1828100
2025-09-24,135.8487091064453,136.0180353947295,134.03607286204613,134.03607286204613,1669400
2025-09-25,134.21533203125,136.10766187714134,134.15557696612706,135.26109126225347,1701200
2025-09-26,137.57171630859375,137.99997105641293,134.51411722263816,134.51411722263816,1214800
2025-09-29,135.52999877929688,138.12945038699215,134.36472946510474,138.02984848439797,2047700
